行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
1,集贤新烧录器,v1.2.4,20230511 15:06:51,mac:2373EAE83EA4,PASS,COM29,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
2,集贤新烧录器,v1.2.4,20230511 15:06:51,mac:2373EAE83EA5,FAIL,COM29,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
3,集贤新烧录器,v1.2.4,20230511 15:06:51,mac:2373EAE83EA6,FAIL,COM29,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
4,集贤新烧录器,v1.2.4,20230511 15:06:51,mac:2373EAE83EA7,FAIL,COM29,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
5,集贤新烧录器,v1.2.4,20230511 15:06:51,mac:2373EAE83EA8,FAIL,COM29,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
6,集贤新烧录器,v1.2.4,20230511 15:07:05,mac:2373EAE83EA5,PASS,COM29,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
7,集贤新烧录器,v1.2.4,20230511 15:07:05,mac:2373EAE83EA6,FAIL,COM29,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
8,集贤新烧录器,v1.2.4,20230511 15:07:05,mac:2373EAE83EA7,FAIL,COM29,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
9,集贤新烧录器,v1.2.4,20230511 15:07:05,mac:2373EAE83EA8,FAIL,COM29,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
10,集贤新烧录器,v1.2.4,20230511 15:07:05,mac:2373EAE83EA9,FAIL,COM29,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
11,集贤新烧录器,v1.2.4,20230511 16:29:09,mac:2373EAE83EA4,PASS,COM29,1,烧录成功,32543634390C1140,BK3432,UAE050_TDYH_A0_',V1.0.5,117776,458462953,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
12,集贤新烧录器,v1.2.4,20230511 16:29:09,mac:2373EAE83EA5,FAIL,COM29,2,没检测到芯片,32543634390C1140,BK3432,UAE050_TDYH_A0_',V1.0.5,117776,458462953,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
13,集贤新烧录器,v1.2.4,20230511 16:29:09,mac:2373EAE83EA6,FAIL,COM29,3,没检测到芯片,32543634390C1140,BK3432,UAE050_TDYH_A0_',V1.0.5,117776,458462953,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
14,集贤新烧录器,v1.2.4,20230511 16:29:09,mac:2373EAE83EA7,FAIL,COM29,4,没检测到芯片,32543634390C1140,BK3432,UAE050_TDYH_A0_',V1.0.5,117776,458462953,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
15,集贤新烧录器,v1.2.4,20230511 16:29:09,mac:2373EAE83EA8,FAIL,COM29,5,没检测到芯片,32543634390C1140,BK3432,UAE050_TDYH_A0_',V1.0.5,117776,458462953,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
