行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
21,集贤新烧录器,v1.2.4,20230105 16:49:18,mac:3873EAE83EA8,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999994
22,集贤新烧录器,v1.2.4,20230105 16:49:18,mac:3873EAE83EA9,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999994
23,集贤新烧录器,v1.2.4,20230105 16:49:18,mac:3873EAE83EAA,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999994
24,集贤新烧录器,v1.2.4,20230105 16:49:18,mac:3873EAE83EAB,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999994
25,集贤新烧录器,v1.2.4,20230105 16:49:18,mac:3873EAE83EAC,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999994
26,集贤新烧录器,v1.2.4,20230105 16:49:36,mac:3873EAE83EA9,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999993
27,集贤新烧录器,v1.2.4,20230105 16:49:36,mac:3873EAE83EAA,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999993
28,集贤新烧录器,v1.2.4,20230105 16:49:36,mac:3873EAE83EAB,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999993
29,集贤新烧录器,v1.2.4,20230105 16:49:36,mac:3873EAE83EAC,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999993
30,集贤新烧录器,v1.2.4,20230105 16:49:36,mac:3873EAE83EAD,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999993
31,集贤新烧录器,v1.2.4,20230105 16:49:55,mac:3873EAE83EAA,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999992
32,集贤新烧录器,v1.2.4,20230105 16:49:55,mac:3873EAE83EAB,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999992
33,集贤新烧录器,v1.2.4,20230105 16:49:55,mac:3873EAE83EAC,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999992
34,集贤新烧录器,v1.2.4,20230105 16:49:55,mac:3873EAE83EAD,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999992
35,集贤新烧录器,v1.2.4,20230105 16:49:55,mac:3873EAE83EAE,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999992
36,集贤新烧录器,v1.2.4,20230105 16:50:13,mac:3873EAE83EAB,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999991
37,集贤新烧录器,v1.2.4,20230105 16:50:13,mac:3873EAE83EAC,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999991
38,集贤新烧录器,v1.2.4,20230105 16:50:13,mac:3873EAE83EAD,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999991
39,集贤新烧录器,v1.2.4,20230105 16:50:13,mac:3873EAE83EAE,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999991
40,集贤新烧录器,v1.2.4,20230105 16:50:13,mac:3873EAE83EAF,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999991
41,集贤新烧录器,v1.2.4,20230105 16:50:29,mac:3873EAE83EAC,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999990
42,集贤新烧录器,v1.2.4,20230105 16:50:29,mac:3873EAE83EAD,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999990
43,集贤新烧录器,v1.2.4,20230105 16:50:29,mac:3873EAE83EAE,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999990
44,集贤新烧录器,v1.2.4,20230105 16:50:29,mac:3873EAE83EAF,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999990
45,集贤新烧录器,v1.2.4,20230105 16:50:29,mac:3873EAE83EB0,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999990
46,集贤新烧录器,v1.2.4,20230105 16:50:46,mac:3873EAE83EAD,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999989
