行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
20,集贤新烧录器,v1.2.4,20220401 17:34:06,mac:3873EAE83EA8,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
21,集贤新烧录器,v1.2.4,20220401 17:34:35,mac:3873EAE83EA4,FAIL,COM4,1,烧录失败,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
22,集贤新烧录器,v1.2.4,20220401 17:34:35,mac:3873EAE83EA5,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
23,集贤新烧录器,v1.2.4,20220401 17:34:35,mac:3873EAE83EA6,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
24,集贤新烧录器,v1.2.4,20220401 17:34:35,mac:3873EAE83EA7,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
25,集贤新烧录器,v1.2.4,20220401 17:34:35,mac:3873EAE83EA8,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
26,集贤新烧录器,v1.2.4,20220401 17:35:10,mac:3873EAE83EA4,PASS,COM4,1,烧录成功,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
27,集贤新烧录器,v1.2.4,20220401 17:35:10,mac:3873EAE83EA5,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
28,集贤新烧录器,v1.2.4,20220401 17:35:10,mac:3873EAE83EA6,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
29,集贤新烧录器,v1.2.4,20220401 17:35:10,mac:3873EAE83EA7,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
30,集贤新烧录器,v1.2.4,20220401 17:35:10,mac:3873EAE83EA8,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999999
31,集贤新烧录器,v1.2.4,20220401 17:35:23,mac:3873EAE83EA5,FAIL,COM4,1,烧录失败,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
32,集贤新烧录器,v1.2.4,20220401 17:35:23,mac:3873EAE83EA6,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
33,集贤新烧录器,v1.2.4,20220401 17:35:23,mac:3873EAE83EA7,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
34,集贤新烧录器,v1.2.4,20220401 17:35:23,mac:3873EAE83EA8,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
35,集贤新烧录器,v1.2.4,20220401 17:35:23,mac:3873EAE83EA9,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
36,集贤新烧录器,v1.2.4,20220401 17:35:38,mac:3873EAE83EA5,PASS,COM4,1,烧录成功,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
37,集贤新烧录器,v1.2.4,20220401 17:35:38,mac:3873EAE83EA6,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
38,集贤新烧录器,v1.2.4,20220401 17:35:38,mac:3873EAE83EA7,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
39,集贤新烧录器,v1.2.4,20220401 17:35:38,mac:3873EAE83EA8,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
40,集贤新烧录器,v1.2.4,20220401 17:35:38,mac:3873EAE83EA9,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999998
41,集贤新烧录器,v1.2.4,20220401 17:36:33,mac:3873EAE83EA6,FAIL,COM4,1,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
42,集贤新烧录器,v1.2.4,20220401 17:36:33,mac:3873EAE83EA7,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
43,集贤新烧录器,v1.2.4,20220401 17:36:33,mac:3873EAE83EA8,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
44,集贤新烧录器,v1.2.4,20220401 17:36:33,mac:3873EAE83EA9,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
45,集贤新烧录器,v1.2.4,20220401 17:36:33,mac:3873EAE83EAA,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
46,集贤新烧录器,v1.2.4,20220401 17:36:48,mac:3873EAE83EA6,FAIL,COM4,1,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
47,集贤新烧录器,v1.2.4,20220401 17:36:48,mac:3873EAE83EA7,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
